Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/23  15:00:00,325.359585798,35.4182209526,135.712555314,0.0,37.1018798503,116.476155989,15.1729474497,5.24717939033,9.90576805939,0.02
 05/23  16:00:00,327.117902432,35.6821988621,137.207275465,0.0,37.1018798503,116.476155989,13.9796282016,4.05386014221,9.90576805939,0.02
 05/23  17:00:00,323.516436391,35.6315613683,133.657272397,0.0,37.1018798503,116.476155989,15.360555663,5.43478760357,9.90576805939,0.02
 05/23  18:00:00,194.679190557,28.399502173,93.3175829888,0.0,24.7345865669,47.5788473902,44.6951915944,31.1374556163,4.9528840297,8.60485194837
 05/23  19:00:00,194.392215649,28.1260617764,86.2565659729,0.0,24.7345865669,47.5788473902,55.8604772333,50.8875932036,4.9528840297,0.02
 05/23  20:00:00,170.922103209,28.5719856958,76.5499741919,0.0,12.3672932834,38.6892022431,76.273447905,73.2817174872,2.97173041782,0.02
 05/23  21:00:00,123.394785731,20.1972626769,49.1614532822,0.0,12.3672932834,27.0668015668,63.3332256319,60.3414952141,2.97173041782,0.02
 05/23  22:00:00,103.421787413,19.6685702155,48.8766587197,0.0,4.12243109448,15.9888894789,63.2698472932,60.2781168753,2.97173041782,0.02
 05/23  23:00:00,105.018301849,21.7137391979,48.6014223166,0.0,4.12243109448,15.9888894789,76.1489169494,73.1571865316,2.97173041782,0.02
 05/23  24:00:00,93.9322558997,18.1413030983,41.1742094192,0.0,4.12243109448,15.9888894789,65.1497907198,62.158060302,2.97173041782,0.02
 05/24  01:00:00,106.146912997,21.7598597865,49.6839130151,0.0,4.12243109448,15.9888894789,82.4209019582,79.4291715404,2.97173041782,0.02
 05/24  02:00:00,91.0878123623,17.1136756902,39.378992664,0.0,4.12243109448,15.9888894789,67.2243390808,64.232608663,2.97173041782,0.02
 05/24  03:00:00,97.2101602342,19.4586284981,43.0915899863,0.0,4.12243109448,15.9888894789,74.908828422,71.9170980042,2.97173041782,0.02
 05/24  04:00:00,138.629614197,27.7156825177,58.8622491671,0.0,12.3672932834,24.9413748627,100.16238394,95.1894999108,4.9528840297,0.02
 05/24  05:00:00,142.552083001,28.917958326,63.2437948649,3.03698060678,12.3672932834,24.9413748627,167.010636405,162.037752376,4.9528840297,0.02
 05/24  06:00:00,195.969337267,29.2969996128,70.2904390301,0.27973505728,24.7345865669,70.7195625826,132.346925057,122.421156998,9.90576805939,0.02
